compound,exp2_22deg_1,exp2_22deg_2,exp2_22deg_3,exp2_22deg_4,exp2_37deg_1,exp2_37deg_2,exp2_37deg_3,exp2_37deg_4,exp4_22deg_1,exp4_22deg_2,exp4_22deg_3,exp4_22deg_4,exp4_37deg_1,exp4_37deg_2,exp4_37deg_3,exp4_37deg_4,exp2_22deg_1_l,exp2_22deg_2_l,exp2_22deg_3_l,exp2_22deg_4_l,exp2_37deg_1_l,exp2_37deg_2_l,exp2_37deg_3_l,exp2_37deg_4_l,exp4_22deg_1_l,exp4_22deg_2_l,exp4_22deg_3_l,exp4_22deg_4_l,exp4_37deg_1_l,exp4_37deg_2_l,exp4_37deg_3_l,exp4_37deg_4_l,sum_exp2_22deg_1,sum_exp2_22deg_2,sum_exp2_22deg_3,sum_exp2_22deg_4,sum_exp2_37deg_1,sum_exp2_37deg_2,sum_exp2_37deg_3,sum_exp2_37deg_4,sum_exp4_22deg_1,sum_exp4_22deg_2,sum_exp4_22deg_3,sum_exp4_22deg_4,sum_exp4_37deg_1,sum_exp4_37deg_2,sum_exp4_37deg_3,sum_exp4_37deg_4,mean_sum_exp2_22deg,sd_sum_exp2_22deg,mean_sum_exp2_37deg,sd_sum_exp2_37deg,mean_sum_exp4_22deg,sd_sum_exp4_22deg,mean_sum_exp4_37deg,sd_sum_exp4_37deg,t_stat_exp2,p_val_exp2,p_val_adj_exp2,t_stat_exp4,p_val_exp4,p_val_adj_exp4,t_stat_22deg,p_val_22deg,p_val_adj_22deg,t_stat_37deg,p_val_37deg,p_val_adj_37deg,log2_fc_exp2,log2_fc_exp4,skew_exp2_22deg,skew_exp2_37deg,skew_exp4_22deg,skew_exp4_37deg
Cer_d18:0_16:1,0.5067940399061258,0.4674282216719168,0.3861372370332449,0.46070434785139397,0.7542127927156096,0.6767633749390632,0.5495231818994842,0.6781888858577727,4.935150397950152,4.415574076613048,3.914405004839309,4.178939647267023,3.840481516214739,4.6812351996243455,4.0186446303898276,3.6270560564046948,0.5903725394850674,0.6253282419219732,0.5141613015364964,0.6302530944144855,1.3733112318803662,1.2385359440363968,1.2979050216989187,1.413609661052618,2.152663092399864,2.0889742102161053,1.2412085528808212,1.5239586659482585,10.029839606947403,15.87695667933594,14.94215275646855,10.2881023203894,-6.310781641407061,-6.31480929139518,-6.508541522257843,-6.31645696303402,-5.484512538465369,-5.589597499518314,-5.625676900570052,-5.501447167596166,-6.4439594960785715,-6.529834726961493,-6.762250263344386,-6.661361873983876,-5.737899583345014,-5.344391476669259,-5.425277417547182,-5.734672193114017,-6.362647354523526,0.08425733339863353,-5.550308526537475,0.05903507357109771,-6.599351590092081,0.12182010322307495,-5.560560167668868,0.17804114075540245,-13.6761524977425,9.495311991106528e-06,0.0001862541610436569,-8.340295923308402,0.00016135967482538145,0.0020738561633129753,2.767922521084537,0.03251162482463741,0.049805042284550925,0.0946635367917073,0.9276643312160516,0.9276643312160516,0.8123388279860508,1.0387914224232135,-1.1526134274069408,-0.10605077634770496,-0.06540568330323678,0.0762710296357841
Cer_d18:1_16:0,0.0,0.0,0.0,0.033254539569090254,0.02662645121297396,0.04043196357056433,0.03779071766581065,0.019041620176249132,0.19978097475513357,0.07773068933252121,0.08155814528552298,0.49403789709918877,0.13888435952789602,3.5305191097913826,0.1444302902269634,0.29567126944390015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.51346611060799,-16.51346611060799,-16.51346611060799,-9.807076653924247,-9.865321563060364,-9.447606041615783,-9.515163183183052,-10.200599572222792,-10.012870034344255,-10.956841523081907,-10.908775469622777,-9.1074794455579,-10.341764607711541,-7.1062060530270506,-10.30260927816516,-9.586157987766455,-14.836868746437053,2.9039518185801203,-9.757172590020499,0.30113273228081355,-10.24649161815171,0.7574867426383227,-9.334184481667553,1.3210263834546823,-3.0136054825492335,0.023590634503970212,0.041992299981607854,-1.0376741123751052,0.33941981885617156,0.440297889946492,-2.649266253060603,0.03806592333515159,0.05481492960261829,-0.540725801306267,0.6081696673606851,0.6257977736609948,5.079696156416555,0.9123071364841575,1.1547005383792508,-0.4084531850323572,0.484035304724066,0.9881731989702199
Cer_d18:0_16:0,1.2105203208339224,0.8038315646043003,0.6216774572711876,0.7439988327260595,3.1857674700267764,3.097203518096242,2.9654809341082946,3.012838611276939,8.68657474193369,8.150930187774225,6.979892211669596,6.876243649333152,12.175687055146616,13.428246623819367,11.38931243911504,9.572750331970905,0.9760863611813905,0.7638379687210086,0.6040870874916233,0.7341431052142008,3.3611985278996768,3.3710035152548126,4.607286088942945,4.431281860538825,3.0540655935952814,3.394668876227276,2.110950642530363,2.512314629437246,31.621042307119982,33.16772364739663,26.167475017227286,24.34514851572502,-5.6211617792120805,-5.953922518210471,-6.199947893628847,-6.012726809414371,-4.360469676363558,-4.372572462204562,-4.21491288677097,-4.232046889877576,-5.939280039624022,-5.9560320646606035,-6.195068768471771,-6.162844652102052,-4.588091827258689,-4.526136907232796,-4.741796850057841,-4.8437081051021345,-5.946939750116443,0.20887861500850263,-4.295000478804167,0.07190411183332229,-6.063306381214613,0.11636097548946779,-4.674933422412865,0.12513740153522546,-12.952174029098613,1.3036729935463422e-05,0.0001862541610436569,-14.07281427497472,8.034885864141463e-06,0.0003173779916335878,0.8429550439143059,0.4315677606815273,0.45695409954514654,4.559607104163874,0.0038525151438061206,0.006078412782449656,1.6519392713122762,1.3883729588017477,0.4963643877372406,0.010612163324352292,-0.020858816663712084,-0.14762515543502588
Cer_t18:1_16:0,1.7329584335845956,1.4955232493243493,1.3952622165630553,1.3124571966210612,0.3824362468902838,0.3610441287144383,0.3804278043163477,0.401221214235944,13.188043949123918,11.721758642341044,9.799820903412904,9.404002355926613,6.499124854255026,5.3583592063237075,5.009071212543381,5.068121365813457,0.8343594992153015,0.7946176601842616,0.6626247468833047,0.7701768066281429,0.3041130594560378,0.26936088828764854,0.31245110176273644,0.35975255602607464,4.698022615456967,4.268723963589451,2.6735474500042287,3.4305807325799615,7.51465071140947,9.460271319428285,11.03933865182018,6.7709594308709375,-5.460650913061638,-5.574899312908901,-5.681832950654197,-5.669879220831312,-6.615548645835848,-6.70086419430178,-6.606371446037481,-6.512627801449719,-5.518314390077459,-5.6303426874723,-5.878740555826808,-5.850193064192789,-5.727610154947475,-5.671765761329715,-5.592041198962164,-5.896244978731714,-5.596815599364012,0.08886420568783877,-6.6088530219062065,0.06666396795891126,-5.71939767439234,0.15071733956572309,-5.7219155234927666,0.11158575918167589,15.779136215495765,4.108181336970793e-06,0.00015200270946791932,0.02325530604828098,0.9822007361830454,0.9929062460329241,1.213494316290236,0.2705389217554563,0.3141742317160137,-11.818668546587835,2.2177878072115622e-05,0.00022494704901717275,-1.0120374225421944,-0.002517849100426517,0.5452805054707945,0.09427595736511694,0.18647207126559998,-0.5364608529051187
Cer_t18:0_16:0,0.9979166223261824,0.7078133090324464,0.5766198748671701,0.5748253510088677,0.5599309783585671,0.5176150282391371,0.5558685110681557,0.5305211658488393,10.628841323028873,8.993772534680982,8.964504659158141,7.214795465877598,7.4251550185086295,9.059699069515876,9.434021492092214,6.735018082157788,0.9166974661423147,0.6367598686468846,0.5224855000339678,0.47980913775496015,0.37655459082971426,0.3837280259659323,0.5566589530742638,0.5172822217850306,4.570193628227663,4.422732728110886,3.048502576144351,2.931791182575426,9.367357085493241,9.167949346259949,8.102831751244011,7.341369359160779,-5.7539965791758485,-6.107436038443074,-6.309016107762855,-6.350318410368309,-6.3050925787931815,-6.343340757828759,-6.132836990650907,-6.1927754511952156,-5.6811044598092035,-5.805850710575313,-5.916346396568493,-6.085199037460382,-5.54671789080191,-5.464711384683455,-5.50334640350836,-5.723152225719392,-6.130191783937522,0.23583602698383063,-6.243511444617017,0.08452973389870652,-5.872125151103347,0.1485237401626215,-5.559481976178279,0.09884778701569917,0.7834493161460021,0.46315783460333804,0.4827278839527749,-3.035218697267453,0.02294342981660908,0.051786598728917645,-1.603775786807454,0.159884768853328,0.1951136162277901,-9.109290147502763,9.834190962114307e-05,0.0004363922239438224,-0.11331966067949484,0.31264317492506777,0.7026658893621887,0.10671414597416683,-0.19067824056456342,-0.8682264091300909
Cer_d18:1_18:0,0.01426159176623186,0.0,0.028377636214969745,0.04804110410427362,0.05456720170655634,0.060068137892754815,0.08253144818535811,0.032489563069081025,0.34574731490666166,0.1320925768338817,0.13753404698722652,0.8289309734894521,0.2583330450572881,5.941871773962615,0.3487645322515954,0.6167879236398262,0.002029836830987849,0.004432216411176594,0.0015036151758241842,0.0,8.134540022437227e-05,0.0036972749452421857,0.0,0.0,0.01293632585363878,0.0,0.0,0.0,0.0,0.10486066700146311,0.0073169653779827275,0.0,-10.52062882352838,-11.822368162611179,-9.914036700164338,-9.43921096013312,-9.146304062407326,-8.992015766431505,-8.734047280424488,-9.66630778983177,-9.427650898105407,-10.426588658165812,-10.386220173671298,-8.589954787700053,-9.721156623963413,-6.568132936020939,-9.400246618162486,-8.850881005736769,-10.424061161609256,0.893678165364814,-9.134668724773771,0.3404492931311122,-9.707603629410642,0.7591067696412391,-8.635104295970901,1.2332763907248714,-2.335275529562427,0.05821896454491031,0.08975423700673672,-1.28273312720531,0.2469073910926594,0.33630489476413955,-1.0583149516405799,0.33064684710299413,0.3778821109748504,-0.6763074848721519,0.5240449030725461,0.5553311659425489,1.2893924368354845,1.0724993334397404,-0.5769044204567837,-0.5262438026604555,0.41941053715597776,0.9451902047138268
Cer_t18:1_20:0,0.1162581664875208,0.09813552763381721,0.0839810186740816,0.05464083777481774,0.06275483887383017,0.07079695635231652,0.05509009483650579,0.06462646027597492,1.0134242998923073,0.7787856662429471,1.168799215753628,0.7576523269935622,0.9093745797001651,1.0919047100948853,1.1280641234273894,0.9899095487574917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10790756336916131,0.09561359725270602,0.011196780851551352,0.07553019983128992,1.4229148513228251,2.384335866339671,3.522699265424331,1.7345746187501547,-8.555454648745537,-8.724918481765075,-8.880677134957683,-9.310486392327222,-9.007991002690206,-8.887410680854634,-9.138256758289902,-8.97860276253626,-8.287819253158657,-8.536554580013934,-8.2368253498326,-8.584838936577725,-7.520800596183139,-7.121699554038527,-6.830619593988184,-7.365371855889692,-8.86788416444888,0.2802283804886576,-9.00306530109275,0.08982677720252347,-8.41150952989573,0.15123921044443003,-7.209622900024885,0.26099009396695594,0.7956568597920625,0.45654632262746875,0.482634683920467,-6.90127574136756,0.0004573614728029981,0.0036131556351436844,-2.4823355334253394,0.047654316072139956,0.06727668151360934,-11.254189910933206,2.941863705386111e-05,0.00023208035898045985,-0.13518113664387066,1.2018866298708444,-0.6053800353912779,-0.3136537191344938,0.004350313111260111,0.29828505453045007
Cer_t18:0_20:0,0.0400984786043851,0.02893208234441965,0.03031548163835349,0.029997567207178936,0.06374637985257245,0.07297355811973782,0.04776522611783061,0.05991229954548256,0.3826516289137782,0.3637367933475377,0.5257554345925903,0.2527706580645554,0.46394443491956733,0.4597465477406003,0.5946152605183659,0.38859628687304126,0.013054817625991906,0.011086791785195026,0.012117875388950514,0.0074311431721629795,0.031935200251312364,0.029473309502834506,0.043562331746538764,0.03765799433321609,0.0,0.06237712702451231,0.0,0.019072371227086025,0.7408409241325445,0.9918576375074722,1.4378089465355657,0.8810993354788951,-9.338087819730957,-9.62191674403408,-9.563333164824469,-9.68882987297659,-8.58620088672654,-8.517882391732952,-8.632774110597287,-8.566653610162803,-9.362966684403482,-9.255384945345988,-9.045255523211674,-9.704866873060833,-8.181349543950148,-7.994981690209475,-7.658421698516469,-8.12887376545237,-9.553041900391523,0.1318078947766481,-8.575877749804896,0.04120773391412948,-9.342118506505493,0.23857460334335134,-7.990906674532116,0.2036334143246555,-12.25566504511251,1.797242990565262e-05,0.0001899942590026134,-7.461410376179743,0.0002989128156510636,0.0026237902707148915,-1.3403456249218568,0.22865418221772477,0.2743850186612697,-4.876754957305903,0.002775326838776428,0.004582516408212242,0.9771641505866278,1.3512118319733766,0.7751820813685958,0.03774699061430906,-0.385287370345544,0.8059481411409807
Cer_t18:1_22:0,0.7438535249165135,0.6198692366805202,0.5925922172452437,0.47139752068203256,0.49421056768550936,0.575868513632416,0.4739229167174969,0.47475430067524127,4.806928672470542,4.500568693265821,5.331924835755886,4.744427930288621,5.1678124500220095,5.971772516041716,5.452209760843876,5.82251550871728,0.204410781482799,0.18165653331061143,0.17487086297645033,0.13557298766870646,0.4489102931918851,0.5050552114509609,0.42154413569510596,0.4830398464498257,0.0,0.1648749920486155,0.5836404298690252,0.36991115368833927,7.208332054333552,11.72617043281945,10.418886581511563,8.36622930655419,-6.456634672485617,-6.624750816364379,-6.668177565742004,-6.9027877361345995,-6.298032250475417,-6.16165543569626,-6.349881262824671,-6.28259381411486,-6.832278045058045,-6.862153456428086,-6.624749337960863,-6.770288215885561,-5.851880180379909,-5.494202554511087,-5.603151354912296,-5.7152019380825,-6.66308769768165,0.15935383841701595,-6.273040690777802,0.0689691756940787,-6.7723672638331385,0.09144156134777613,-5.666109006971448,0.1326994151314714,-3.8907299507497393,0.008069921363828494,0.019905806030776952,-11.889822621714847,2.1421016491587407e-05,0.0005640867676118017,1.030218192682156,0.34263491576972016,0.3854642802409352,-7.029224638920033,0.0004140143556858509,0.0009482264275385618,0.3900470069038482,1.1062582568616905,-0.3037384912708799,0.6947751160834135,0.7448084014701025,-0.12835955430378448
Cer_t18:0_22:0 ,0.6486373780441969,0.5281261880886936,0.4445231114783059,0.3666776040991641,0.6861636663705443,0.7052243027117818,0.6178868533634007,0.6174985370649249,4.170234321299084,3.512943733599922,4.251184970254347,2.941703430890483,4.170056317926769,4.4577995478972845,3.72956851917471,3.990720776442527,0.27910749875221963,0.2651669009169885,0.2135829478529641,0.1500067852142091,0.4595886063718971,0.447393091731585,0.5404503004465746,0.5237192695523469,0.9315877597433543,0.9263757926409911,0.7836553381496236,0.7107043024822288,6.701432833855925,7.7014624659095725,6.395894489162277,6.886203506860319,-6.478511162356362,-6.635075191534052,-6.821901837370113,-7.063835717546911,-6.1034099842403355,-6.0974360608844345,-6.092485923677618,-6.1073754686235,-6.772738648880041,-6.9118352907539515,-6.78595458623446,-7.106949792499111,-5.9815072815245145,-5.869559784716332,-6.052597628593097,-5.98100746284583,-6.74983097720186,0.21827535254615082,-6.100176859356472,0.005677489316911942,-6.894369579591891,0.13420440759956262,-5.971168039419943,0.06549566702743292,-5.1533692554639785,0.00210831407668904,0.007800762083749448,-10.707788753333155,3.916686216584682e-05,0.0007735455277754746,0.9770363743304377,0.36628391276942784,0.3995824502939213,-3.3989271385862105,0.014515091522490609,0.021313841157492627,0.6496541178453885,0.9232015401719478,-0.23680458307365695,0.09382607814207504,-0.676234739519056,0.4511641154968885
