compound,exp2_22deg_1,exp2_22deg_2,exp2_22deg_3,exp2_22deg_4,exp2_22deg_1_l,exp2_22deg_2_l,exp2_22deg_3_l,exp2_22deg_4_l
Cer_d18:0_16:1,0.3620524872160697,0.41885671898048743,0.3390093825183379,0.40585143578253613,0.08822141292375894,0.09511894301146712,0.08205782585805758,0.1041371168569751
Cer_d18:1_16:0,0.015156472781428895,0.02132434661336442,5.398092105267659,0.10558752613411698,0.0,0.010621533358146328,0.03205365220360418,0.0
Cer_d18:0_16:0,0.4661677418071108,0.638967415780913,0.6395812115278101,0.5857987424766713,0.09498234634244634,0.16229601871531682,0.16488461362425225,0.12737489303279076
Cer_t18:1_16:0,0.9891368330860912,0.9762837914206027,1.1353711931402817,1.117037443379893,0.14831491214373524,0.18641054889195585,0.1910984887899013,0.18297724862309594
Cer_t18:0_16:0,0.43948538881845184,0.5253989290106584,0.6901725276174383,0.5186147032432132,0.0864871080648548,0.11647385067922965,0.16288778706458246,0.11995474614365252
Cer_d18:1_18:0,0.04205557554825818,0.05082748735151321,14.349372163608596,0.2800524157509665,0.0012390540462814497,0.0010660780202152002,0.19651598707309795,0.0
Cer_t18:1_20:0,0.12128295142648031,0.12224490903415952,0.13684936257392832,0.1826161138987661,0.0,0.0,0.0,0.0
Cer_t18:0_20:0,0.049658090940487884,0.04461881859384969,0.05174714044607871,0.054616138250307804,0.0005624918175583146,0.008935346216273794,0.003911600642030594,0.009075254892991743
Cer_t18:1_22:0,0.6094658825481506,0.6610389929781577,0.7357770905073121,1.0100625345094896,0.08521909716537414,0.101409702904164,0.07353325485405429,0.10999943973993143
Cer_t18:0_22:0 ,0.4863908791951109,0.5087684670510044,0.6024118107753191,0.6576333796529591,0.0632051200480994,0.08366208979625839,0.10209768317798772,0.07747328541071824
Cer_d18:1_24:1,0.560218362789998,0.6563291212618667,1.3075313082115538,1.5802981666482336,0.0,0.0,0.0,0.0
Cer_t18:1_24:1 ,0.5410889032803907,0.6446426044493724,0.6684545133043891,0.8512044922929322,0.016826800990637065,0.01439527468151689,0.006511806745345977,0.01784153516757799
