compound,exp2_22deg_1,exp2_22deg_2,exp2_22deg_3,exp2_22deg_4,exp2_37deg_1,exp2_37deg_2,exp2_37deg_3,exp2_37deg_4,exp4_22deg_1,exp4_22deg_2,exp4_22deg_3,exp4_22deg_4,exp4_37deg_1,exp4_37deg_2,exp4_37deg_3,exp4_37deg_4,exp2_22deg_1_l,exp2_22deg_2_l,exp2_22deg_3_l,exp2_22deg_4_l,exp2_37deg_1_l,exp2_37deg_2_l,exp2_37deg_3_l,exp2_37deg_4_l,exp4_22deg_1_l,exp4_22deg_2_l,exp4_22deg_3_l,exp4_22deg_4_l,exp4_37deg_1_l,exp4_37deg_2_l,exp4_37deg_3_l,exp4_37deg_4_l
Cer_d18:0_16:1,0.5067940399061258,0.4674282216719168,0.3861372370332449,0.46070434785139397,0.7542127927156096,0.6767633749390632,0.5495231818994842,0.6781888858577727,4.935150397950152,4.415574076613048,3.914405004839309,4.178939647267023,3.840481516214739,4.6812351996243455,4.0186446303898276,3.6270560564046948,0.5903725394850674,0.6253282419219732,0.5141613015364964,0.6302530944144855,1.3733112318803662,1.2385359440363968,1.2979050216989187,1.413609661052618,2.152663092399864,2.0889742102161053,1.2412085528808212,1.5239586659482585,10.029839606947403,15.87695667933594,14.94215275646855,10.2881023203894
Cer_d18:1_16:0,0.0,0.0,0.0,0.033254539569090254,0.02662645121297396,0.04043196357056433,0.03779071766581065,0.019041620176249132,0.19978097475513357,0.07773068933252121,0.08155814528552298,0.49403789709918877,0.13888435952789602,3.5305191097913826,0.1444302902269634,0.29567126944390015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cer_d18:0_16:0,1.2105203208339224,0.8038315646043003,0.6216774572711876,0.7439988327260595,3.1857674700267764,3.097203518096242,2.9654809341082946,3.012838611276939,8.68657474193369,8.150930187774225,6.979892211669596,6.876243649333152,12.175687055146616,13.428246623819367,11.38931243911504,9.572750331970905,0.9760863611813905,0.7638379687210086,0.6040870874916233,0.7341431052142008,3.3611985278996768,3.3710035152548126,4.607286088942945,4.431281860538825,3.0540655935952814,3.394668876227276,2.110950642530363,2.512314629437246,31.621042307119982,33.16772364739663,26.167475017227286,24.34514851572502
Cer_t18:1_16:0,1.7329584335845956,1.4955232493243493,1.3952622165630553,1.3124571966210612,0.3824362468902838,0.3610441287144383,0.3804278043163477,0.401221214235944,13.188043949123918,11.721758642341044,9.799820903412904,9.404002355926613,6.499124854255026,5.3583592063237075,5.009071212543381,5.068121365813457,0.8343594992153015,0.7946176601842616,0.6626247468833047,0.7701768066281429,0.3041130594560378,0.26936088828764854,0.31245110176273644,0.35975255602607464,4.698022615456967,4.268723963589451,2.6735474500042287,3.4305807325799615,7.51465071140947,9.460271319428285,11.03933865182018,6.7709594308709375
Cer_t18:0_16:0,0.9979166223261824,0.7078133090324464,0.5766198748671701,0.5748253510088677,0.5599309783585671,0.5176150282391371,0.5558685110681557,0.5305211658488393,10.628841323028873,8.993772534680982,8.964504659158141,7.214795465877598,7.4251550185086295,9.059699069515876,9.434021492092214,6.735018082157788,0.9166974661423147,0.6367598686468846,0.5224855000339678,0.47980913775496015,0.37655459082971426,0.3837280259659323,0.5566589530742638,0.5172822217850306,4.570193628227663,4.422732728110886,3.048502576144351,2.931791182575426,9.367357085493241,9.167949346259949,8.102831751244011,7.341369359160779
Cer_d18:1_18:0,0.01426159176623186,0.0,0.028377636214969745,0.04804110410427362,0.05456720170655634,0.060068137892754815,0.08253144818535811,0.032489563069081025,0.34574731490666166,0.1320925768338817,0.13753404698722652,0.8289309734894521,0.2583330450572881,5.941871773962615,0.3487645322515954,0.6167879236398262,0.002029836830987849,0.004432216411176594,0.0015036151758241842,0.0,8.134540022437227e-05,0.0036972749452421857,0.0,0.0,0.01293632585363878,0.0,0.0,0.0,0.0,0.10486066700146311,0.0073169653779827275,0.0
Cer_t18:1_20:0,0.1162581664875208,0.09813552763381721,0.0839810186740816,0.05464083777481774,0.06275483887383017,0.07079695635231652,0.05509009483650579,0.06462646027597492,1.0134242998923073,0.7787856662429471,1.168799215753628,0.7576523269935622,0.9093745797001651,1.0919047100948853,1.1280641234273894,0.9899095487574917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10790756336916131,0.09561359725270602,0.011196780851551352,0.07553019983128992,1.4229148513228251,2.384335866339671,3.522699265424331,1.7345746187501547
Cer_t18:0_20:0,0.0400984786043851,0.02893208234441965,0.03031548163835349,0.029997567207178936,0.06374637985257245,0.07297355811973782,0.04776522611783061,0.05991229954548256,0.3826516289137782,0.3637367933475377,0.5257554345925903,0.2527706580645554,0.46394443491956733,0.4597465477406003,0.5946152605183659,0.38859628687304126,0.013054817625991906,0.011086791785195026,0.012117875388950514,0.0074311431721629795,0.031935200251312364,0.029473309502834506,0.043562331746538764,0.03765799433321609,0.0,0.06237712702451231,0.0,0.019072371227086025,0.7408409241325445,0.9918576375074722,1.4378089465355657,0.8810993354788951
Cer_t18:1_22:0,0.7438535249165135,0.6198692366805202,0.5925922172452437,0.47139752068203256,0.49421056768550936,0.575868513632416,0.4739229167174969,0.47475430067524127,4.806928672470542,4.500568693265821,5.331924835755886,4.744427930288621,5.1678124500220095,5.971772516041716,5.452209760843876,5.82251550871728,0.204410781482799,0.18165653331061143,0.17487086297645033,0.13557298766870646,0.4489102931918851,0.5050552114509609,0.42154413569510596,0.4830398464498257,0.0,0.1648749920486155,0.5836404298690252,0.36991115368833927,7.208332054333552,11.72617043281945,10.418886581511563,8.36622930655419
Cer_t18:0_22:0 ,0.6486373780441969,0.5281261880886936,0.4445231114783059,0.3666776040991641,0.6861636663705443,0.7052243027117818,0.6178868533634007,0.6174985370649249,4.170234321299084,3.512943733599922,4.251184970254347,2.941703430890483,4.170056317926769,4.4577995478972845,3.72956851917471,3.990720776442527,0.27910749875221963,0.2651669009169885,0.2135829478529641,0.1500067852142091,0.4595886063718971,0.447393091731585,0.5404503004465746,0.5237192695523469,0.9315877597433543,0.9263757926409911,0.7836553381496236,0.7107043024822288,6.701432833855925,7.7014624659095725,6.395894489162277,6.886203506860319
